"event","experiment time","system time","system time text"
"PAUSE",2.291342900E2,1736981360.875,"2025-01-15 17:49:20.875 UTC-05:00"
"START",2.291342900E2,1736981363.036,"2025-01-15 17:49:23.036 UTC-05:00"
"PAUSE",2.337722472E2,1736981367.674,"2025-01-15 17:49:27.674 UTC-05:00"
"START",2.337722472E2,1736981369.992,"2025-01-15 17:49:29.992 UTC-05:00"
"PAUSE",2.388681636E2,1736981375.088,"2025-01-15 17:49:35.088 UTC-05:00"
"START",2.388681636E2,1736981382.906,"2025-01-15 17:49:42.906 UTC-05:00"
"PAUSE",2.434218286E2,1736981387.460,"2025-01-15 17:49:47.460 UTC-05:00"
"START",2.434218286E2,1736981389.891,"2025-01-15 17:49:49.891 UTC-05:00"
"PAUSE",2.487133922E2,1736981395.183,"2025-01-15 17:49:55.183 UTC-05:00"
"START",2.487133922E2,1736981397.414,"2025-01-15 17:49:57.414 UTC-05:00"
"PAUSE",2.537323807E2,1736981402.433,"2025-01-15 17:50:02.433 UTC-05:00"
"START",2.537323807E2,1736981404.679,"2025-01-15 17:50:04.679 UTC-05:00"
"PAUSE",2.588651161E2,1736981409.812,"2025-01-15 17:50:09.812 UTC-05:00"
"START",2.588651161E2,1736981412.496,"2025-01-15 17:50:12.496 UTC-05:00"
"PAUSE",2.633302920E2,1736981416.961,"2025-01-15 17:50:16.961 UTC-05:00"
"START",2.633302920E2,1736981419.272,"2025-01-15 17:50:19.272 UTC-05:00"
"PAUSE",2.683888384E2,1736981424.330,"2025-01-15 17:50:24.330 UTC-05:00"
"START",2.683888384E2,1736981426.439,"2025-01-15 17:50:26.439 UTC-05:00"
"PAUSE",2.733750304E2,1736981431.425,"2025-01-15 17:50:31.425 UTC-05:00"
"START",2.733750304E2,1736981434.075,"2025-01-15 17:50:34.075 UTC-05:00"
"PAUSE",2.775321813E2,1736981438.232,"2025-01-15 17:50:38.232 UTC-05:00"
"START",2.775321813E2,1736981442.693,"2025-01-15 17:50:42.693 UTC-05:00"
"PAUSE",2.818418989E2,1736981447.002,"2025-01-15 17:50:47.002 UTC-05:00"
