	profile_A
n	x	y	luma
2.770000E2	1.004685E1	-2.831318E-3	6.099301E0
2.780000E2	1.004165E1	-2.831318E-3	5.191576E0
2.790000E2	1.003644E1	-2.831318E-3	4.801888E0
2.800000E2	1.003123E1	-2.831318E-3	4.872276E0
2.810000E2	1.002602E1	-2.831318E-3	5.181534E0
2.820000E2	1.002082E1	-2.831318E-3	5.896073E0
2.830000E2	1.001561E1	-2.831318E-3	5.947960E0
2.840000E2	1.001040E1	-2.831318E-3	5.330259E0
2.850000E2	1.000519E1	-2.831318E-3	5.838537E0
2.860000E2	9.999987E0	-2.831318E-3	6.566448E0
2.870000E2	9.994779E0	-2.831318E-3	6.118008E0
2.880000E2	9.989572E0	-2.831318E-3	5.765089E0
2.890000E2	9.984364E0	-2.831318E-3	5.807343E0
2.900000E2	9.979157E0	-2.831318E-3	5.891455E0
2.910000E2	9.973949E0	-2.831318E-3	5.732243E0
2.920000E2	9.968742E0	-2.831318E-3	5.854550E0
2.930000E2	9.963534E0	-2.831318E-3	6.479694E0
2.940000E2	9.958327E0	-2.831318E-3	5.269030E0
2.950000E2	9.953119E0	-2.831318E-3	5.180792E0
2.960000E2	9.947911E0	-2.831318E-3	5.508973E0
2.970000E2	9.942704E0	-2.831318E-3	5.081935E0
2.980000E2	9.937496E0	-2.831318E-3	5.123141E0
2.990000E2	9.932289E0	-2.831318E-3	5.236182E0
3.000000E2	9.927081E0	-2.831318E-3	5.065439E0
3.010000E2	9.921874E0	-2.831318E-3	5.021333E0
3.020000E2	9.916666E0	-2.831318E-3	4.957485E0
3.030000E2	9.911459E0	-2.831318E-3	5.456958E0
3.040000E2	9.906251E0	-2.831318E-3	5.453112E0
3.050000E2	9.901044E0	-2.831318E-3	5.350134E0
3.060000E2	9.895836E0	-2.831318E-3	4.457158E0
3.070000E2	9.890629E0	-2.831318E-3	5.529965E0
3.080000E2	9.885421E0	-2.831318E-3	5.425935E0
3.090000E2	9.880214E0	-2.831318E-3	5.557322E0
3.100000E2	9.875006E0	-2.831318E-3	6.238189E0
3.110000E2	9.869798E0	-2.831318E-3	5.215830E0
3.120000E2	9.864591E0	-2.831318E-3	5.155261E0
3.130000E2	9.859383E0	-2.831318E-3	5.990405E0
