	profile_A
n,x,luma
2.210000E2,2.061376E1,7.206918E0
2.220000E2,2.060308E1,7.367434E0
2.230000E2,2.059240E1,6.512844E0
2.240000E2,2.058173E1,7.483980E0
2.250000E2,2.057105E1,8.811447E0
2.260000E2,2.056037E1,7.970781E0
2.270000E2,2.054970E1,7.571839E0
2.280000E2,2.053902E1,8.615377E0
2.290000E2,2.052834E1,8.572136E0
2.300000E2,2.051767E1,8.669543E0
2.310000E2,2.050699E1,8.739447E0
2.320000E2,2.049631E1,8.625393E0
2.330000E2,2.048564E1,8.735437E0
2.340000E2,2.047496E1,9.127808E0
2.350000E2,2.046428E1,9.679004E0
2.360000E2,2.045361E1,8.118873E0
2.370000E2,2.044293E1,6.478462E0
2.380000E2,2.043225E1,7.231553E0
2.390000E2,2.042158E1,8.862081E0
2.400000E2,2.041090E1,9.251851E0
2.410000E2,2.040022E1,9.514457E0
2.420000E2,2.038955E1,8.744945E0
2.430000E2,2.037887E1,7.915145E0
2.440000E2,2.036819E1,7.572612E0
2.450000E2,2.035752E1,7.404646E0
2.460000E2,2.034684E1,8.476380E0
2.470000E2,2.033616E1,9.289539E0
2.480000E2,2.032549E1,9.969780E0
2.490000E2,2.031481E1,9.096449E0
2.500000E2,2.030413E1,7.246094E0
2.510000E2,2.029346E1,7.311818E0
2.520000E2,2.028278E1,8.353054E0
2.530000E2,2.027210E1,7.763486E0
2.540000E2,2.026143E1,7.618261E0
2.550000E2,2.025075E1,9.282734E0
2.560000E2,2.024007E1,1.014639E1
2.570000E2,2.022940E1,8.671233E0
2.580000E2,2.021872E1,7.688100E0
2.590000E2,2.020804E1,7.808494E0
2.600000E2,2.019737E1,8.100897E0
2.610000E2,2.018669E1,8.837659E0
2.620000E2,2.017601E1,9.466607E0
2.630000E2,2.016534E1,1.018089E1
2.640000E2,2.015466E1,1.099814E1
2.650000E2,2.014398E1,1.063067E1
2.660000E2,2.013331E1,9.957772E0
2.670000E2,2.012263E1,9.499485E0
2.680000E2,2.011195E1,8.864203E0
2.690000E2,2.010128E1,9.038890E0
2.700000E2,2.009060E1,8.824057E0
2.710000E2,2.007992E1,8.591983E0
2.720000E2,2.006925E1,8.175733E0
2.730000E2,2.005857E1,7.204938E0
2.740000E2,2.004789E1,7.979837E0
2.750000E2,2.003722E1,9.337278E0
2.760000E2,2.002654E1,9.144887E0
2.770000E2,2.001586E1,1.006968E1
2.780000E2,2.000519E1,1.060718E1
2.790000E2,1.999451E1,1.017339E1
2.800000E2,1.998384E1,9.463026E0
2.810000E2,1.997316E1,9.918113E0
2.820000E2,1.996248E1,1.031355E1
2.830000E2,1.995181E1,1.073459E1
2.840000E2,1.994113E1,9.688975E0
2.850000E2,1.993045E1,9.045780E0
2.860000E2,1.991978E1,9.665093E0
2.870000E2,1.990910E1,9.853787E0
2.880000E2,1.989842E1,9.719318E0
2.890000E2,1.988775E1,8.858729E0
2.900000E2,1.987707E1,8.351073E0
2.910000E2,1.986639E1,9.426591E0
2.920000E2,1.985572E1,1.002401E1
2.930000E2,1.984504E1,1.030893E1
2.940000E2,1.983436E1,1.086842E1
2.950000E2,1.982369E1,9.920212E0
2.960000E2,1.981301E1,8.143152E0
2.970000E2,1.980233E1,8.615736E0
2.980000E2,1.979166E1,8.447055E0
2.990000E2,1.978098E1,7.778420E0
3.000000E2,1.977030E1,7.890456E0
3.010000E2,1.975963E1,7.131872E0
3.020000E2,1.974895E1,7.097981E0
3.030000E2,1.973827E1,9.876313E0
3.040000E2,1.972760E1,8.739851E0
3.050000E2,1.971692E1,6.790798E0
3.060000E2,1.970624E1,8.415186E0
3.070000E2,1.969557E1,8.828726E0
3.080000E2,1.968489E1,8.115688E0
3.090000E2,1.967421E1,9.111554E0
3.100000E2,1.966354E1,9.684539E0
3.110000E2,1.965286E1,8.456890E0
3.120000E2,1.964218E1,6.971180E0
3.130000E2,1.963151E1,6.507847E0
3.140000E2,1.962083E1,6.179768E0
3.150000E2,1.961015E1,6.118186E0
3.160000E2,1.959948E1,6.680918E0
3.170000E2,1.958880E1,8.235025E0
3.180000E2,1.957812E1,8.855383E0
3.190000E2,1.956745E1,7.226398E0
3.200000E2,1.955677E1,7.189391E0
3.210000E2,1.954609E1,8.605609E0
3.220000E2,1.953542E1,8.235048E0
3.230000E2,1.952474E1,8.369683E0
3.240000E2,1.951406E1,8.432649E0
3.250000E2,1.950339E1,7.360495E0
3.260000E2,1.949271E1,7.758569E0
3.270000E2,1.948203E1,8.330395E0
3.280000E2,1.947136E1,8.300974E0
3.290000E2,1.946068E1,6.308184E0
3.300000E2,1.945000E1,6.359003E0
3.310000E2,1.943933E1,6.712121E0
3.320000E2,1.942865E1,7.009402E0
3.330000E2,1.941797E1,6.383655E0
3.340000E2,1.940730E1,6.911833E0
3.350000E2,1.939662E1,7.596005E0
3.360000E2,1.938594E1,6.189990E0
3.370000E2,1.937527E1,6.112528E0
3.380000E2,1.936459E1,8.480136E0
3.390000E2,1.935392E1,8.901265E0
3.400000E2,1.934324E1,9.196097E0
3.410000E2,1.933256E1,9.556051E0
3.420000E2,1.932189E1,8.512496E0
3.430000E2,1.931121E1,8.652712E0
3.440000E2,1.930053E1,8.805345E0
3.450000E2,1.928986E1,8.951662E0
3.460000E2,1.927918E1,8.643214E0
3.470000E2,1.926850E1,8.334871E0
3.480000E2,1.925783E1,8.602678E0
3.490000E2,1.924715E1,8.522711E0
3.500000E2,1.923647E1,8.460338E0
3.510000E2,1.922580E1,8.666666E0
3.520000E2,1.921512E1,9.488962E0
3.530000E2,1.920444E1,9.806530E0
3.540000E2,1.919377E1,8.938868E0
3.550000E2,1.918309E1,7.513333E0
3.560000E2,1.917241E1,7.491124E0
3.570000E2,1.916174E1,7.635428E0
3.580000E2,1.915106E1,7.168016E0
3.590000E2,1.914038E1,8.507596E0
3.600000E2,1.912971E1,8.973767E0
